zone_geo;part_age_inf18;part_age_inc;annee
Ain;2,5;0,9;2024
Aisne;4,5;0,5;2024
Allier;4,2;0,1;2024
Alpes-de-Haute-Provence;2,4;0,2;2024
Hautes-Alpes;3,5;2,4;2024
Alpes-Maritimes;2,9;1,2;2024
Ardèche;3,0;1,6;2024
Ardennes;4,2;0,1;2024
Ariège;3,2;0,4;2024
Aube;2,8;0,1;2024
Aude;3,7;0,8;2024
Aveyron;3,5;0,1;2024
Bouches-du-Rhône;2,7;1,6;2024
Calvados;3,7;0,1;2024
Cantal;2,6;0,0;2024
Charente;3,6;0,0;2024
Charente-Maritime;3,5;0,3;2024
Cher;2,6;0,0;2024
Corrèze;3,3;0,1;2024
Corse-du-Sud;4,1;0,3;2024
Haute-Corse;2,8;22,9;2024
Côte-d'Or;2,8;0,2;2024
Côtes-d'Armor;2,9;0,0;2024
Creuse;3,0;0,4;2024
Dordogne;3,0;0,5;2024
Doubs;3,3;1,6;2024
Drôme;3,3;1,4;2024
Eure;3,4;0,2;2024
Eure-et-Loir;4,1;0,1;2024
Finistère;3,4;0,3;2024
Gard;2,7;0,2;2024
Haute-Garonne;2,4;0,8;2024
Gers;2,9;0,0;2024
Gironde;2,5;2,5;2024
Hérault;3,3;0,6;2024
Ille-et-Vilaine;2,9;0,3;2024
Indre;3,8;0,3;2024
Indre-et-Loire;3,9;0,1;2024
Isère;2,9;1,4;2024
Jura;3,4;0,7;2024
Landes;2,8;1,1;2024
Loir-et-Cher;3,8;2,9;2024
Loire;2,8;0,3;2024
Haute-Loire;2,8;0,0;2024
Loire-Atlantique;2,4;0,1;2024
Loiret;2,8;1,0;2024
Lot;4,9;0,0;2024
Lot-et-Garonne;2,6;0,3;2024
Lozère;5,4;0,0;2024
Maine-et-Loire;3,0;0,8;2024
Manche;4,2;0,3;2024
Marne;2,3;0,4;2024
Haute-Marne;3,4;0,0;2024
Mayenne;2,4;0,8;2024
Meurthe-et-Moselle;2,4;0,1;2024
Meuse;4,7;0,9;2024
Morbihan;2,8;0,5;2024
Moselle;2,0;0,2;2024
Nièvre;2,7;0,4;2024
Nord;3,4;0,6;2024
Oise;2,8;0,2;2024
Orne;4,1;0,0;2024
Pas-de-Calais;4,2;0,7;2024
Puy-de-Dôme;3,2;1,1;2024
Pyrénées-Atlantiques;3,2;1,6;2024
Hautes-Pyrénées;3,5;0,0;2024
Pyrénées-Orientales;3,5;0,1;2024
Bas-Rhin;2,5;0,6;2024
Haut-Rhin;2,9;0,1;2024
Rhône;2,2;1,5;2024
Haute-Saône;4,6;0,1;2024
Saône-et-Loire;3,2;0,2;2024
Sarthe;4,8;0,1;2024
Savoie;2,5;0,2;2024
Haute-Savoie;1,5;0,2;2024
Paris;1,9;4,4;2024
